A0001,04,00365,魔獣が現れた！[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0002,05,00416,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0003,03,00436,宝箱には

A0003,06,00439,が入っている。\x01

A0003,07,00440,持ち物が一杯なので、

A0003,10,00443,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0004,05,00467,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0005,05,00506,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0006,03,00527,宝箱には

A0006,06,00530,が入っている。\x01

A0006,07,00531,持ち物が一杯なので、

A0006,10,00534,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0007,05,00560,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0008,05,00599,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0009,03,00620,宝箱には

A0009,06,00623,が入っている。\x01

A0009,07,00624,持ち物が一杯なので、

A0009,10,00627,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0010,05,00653,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0011,05,00692,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0012,03,00713,宝箱には

A0012,06,00716,が入っている。\x01

A0012,07,00717,持ち物が一杯なので、

A0012,10,00720,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0013,05,00746,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

